symbol,start_time_utc8,end_time_utc8,direction,spike_size_pips,duration_minutes,candle_count,opposing_candles,elbow_type
XAUUSD,2026-01-30 00:15:00+08:00,2026-01-30 00:21:00+08:00,bear,1285.0,7,7,1,Single
XAUUSD,2026-01-30 00:22:00+08:00,2026-01-30 00:25:00+08:00,bear,1439.0,4,4,3,Double
XAUUSD,2026-01-30 00:26:00+08:00,2026-01-30 00:33:00+08:00,bull,2096.0,8,8,3,Double
XAUUSD,2026-01-30 00:34:00+08:00,2026-01-30 00:39:00+08:00,bear,3577.0,6,6,3,Double
XAUUSD,2026-01-30 00:40:00+08:00,2026-01-30 00:48:00+08:00,bear,4460.0,9,9,3,Double
XAUUSD,2026-01-30 00:49:00+08:00,2026-01-30 00:55:00+08:00,bull,2139.0,7,7,3,Double
XAUUSD,2026-01-30 00:56:00+08:00,2026-01-30 01:04:00+08:00,bear,7667.0,9,9,3,Double
XAUUSD,2026-01-30 01:05:00+08:00,2026-01-30 01:08:00+08:00,bull,5429.0,4,4,3,Double
XAUUSD,2026-01-30 01:09:00+08:00,2026-01-30 01:18:00+08:00,bear,14917.0,10,10,3,Double
XAUUSD,2026-01-30 01:19:00+08:00,2026-01-30 01:25:00+08:00,bear,7328.0,7,7,3,Double
XAUUSD,2026-01-30 01:26:00+08:00,2026-01-30 01:30:00+08:00,bear,20691.0,5,5,3,Double
XAUUSD,2026-01-30 01:31:00+08:00,2026-01-30 01:37:00+08:00,bear,14629.0,7,7,3,Double
XAUUSD,2026-01-30 01:38:00+08:00,2026-01-30 01:41:00+08:00,bull,7468.0,4,4,3,Double
XAUUSD,2026-01-30 01:42:00+08:00,2026-01-30 01:46:00+08:00,bear,7009.0,5,5,3,Double
XAUUSD,2026-01-30 01:47:00+08:00,2026-01-30 01:51:00+08:00,bear,5128.0,5,5,3,Double
XAUUSD,2026-01-30 01:53:00+08:00,2026-01-30 01:57:00+08:00,bull,4367.0,5,5,3,Double
XAUUSD,2026-01-30 01:58:00+08:00,2026-01-30 02:07:00+08:00,bull,8636.0,10,10,3,Double
XAUUSD,2026-01-30 02:08:00+08:00,2026-01-30 02:16:00+08:00,bull,5232.0,9,9,3,Double
XAUUSD,2026-01-30 02:17:00+08:00,2026-01-30 02:22:00+08:00,bull,2304.0,6,6,3,Double
